Month_Arabic,Day,Fajr,Shuruq,Dhuhr,Asr,Maghrib,Isha
كانون الثاني,1,05:47,07:16,12:16,02:49,05:09,06:30
كانون الثاني,2,05:47,07:16,12:17,02:49,05:09,06:31
كانون الثاني,3,05:47,07:16,12:17,02:50,05:10,06:32
كانون الثاني,4,05:48,07:16,12:17,02:51,05:11,06:32
كانون الثاني,5,05:48,07:16,12:18,02:52,05:12,06:33
كانون الثاني,6,05:48,07:16,12:18,02:52,05:12,06:34
كانون الثاني,7,05:48,07:16,12:19,02:53,05:13,06:35
كانون الثاني,8,05:48,07:16,12:19,02:54,05:14,06:36
كانون الثاني,9,05:48,07:16,12:20,02:55,05:15,06:36
كانون الثاني,10,05:48,07:16,12:20,02:56,05:16,06:37
كانون الثاني,11,05:48,07:16,12:20,02:57,05:17,06:38
كانون الثاني,12,05:48,07:16,12:21,02:58,05:18,06:39
كانون الثاني,13,05:48,07:16,12:21,02:58,05:19,06:40
كانون الثاني,14,05:48,07:15,12:22,02:59,05:20,06:41
كانون الثاني,15,05:48,07:15,12:22,03:00,05:21,06:41
كانون الثاني,16,05:47,07:15,12:22,03:01,05:22,06:42
كانون الثاني,17,05:47,07:15,12:23,03:02,05:23,06:43
كانون الثاني,18,05:47,07:14,12:23,03:03,05:24,06:44
كانون الثاني,19,05:47,07:14,12:23,03:04,05:25,06:45
كانون الثاني,20,05:46,07:13,12:24,03:05,05:26,06:46
كانون الثاني,21,05:46,07:13,12:24,03:06,05:27,06:47
كانون الثاني,22,05:46,07:12,12:24,03:07,05:28,06:48
كانون الثاني,23,05:45,07:12,12:24,03:07,05:29,06:49
كانون الثاني,24,05:45,07:11,12:25,03:08,05:30,06:50
كانون الثاني,25,05:44,07:11,12:25,03:09,05:31,06:50
كانون الثاني,26,05:44,07:10,12:25,03:10,05:32,06:51
كانون الثاني,27,05:44,07:10,12:25,03:11,05:33,06:52
كانون الثاني,28,05:43,07:09,12:25,03:12,05:34,06:53
كانون الثاني,29,05:42,07:08,12:26,03:13,05:35,06:54
كانون الثاني,30,05:42,07:07,12:26,03:14,05:36,06:55
كانون الثاني,31,05:41,07:07,12:26,03:15,05:38,06:56
شباط,1,05:41,07:06,12:26,03:16,05:39,06:57
شباط,2,05:40,07:05,12:26,03:16,05:40,06:58
شباط,3,05:39,07:04,12:26,03:17,05:41,06:59
شباط,4,05:38,07:03,12:26,03:18,05:42,07:00
شباط,5,05:38,07:03,12:26,03:19,05:43,07:01
شباط,6,05:37,07:02,12:27,03:20,05:44,07:02
شباط,7,05:36,07:01,12:27,03:21,05:45,07:02
شباط,8,05:35,07:00,12:27,03:21,05:46,07:03
شباط,9,05:34,06:59,12:27,03:22,05:47,07:04
شباط,10,05:34,06:58,12:27,03:23,05:48,07:05
شباط,11,05:33,06:57,12:27,03:24,05:49,07:06
شباط,12,05:32,06:56,12:27,03:25,05:50,07:07
شباط,13,05:31,06:55,12:27,03:25,05:51,07:08
شباط,14,05:30,06:54,12:27,03:26,05:52,07:09
شباط,15,05:29,06:52,12:27,03:27,05:53,07:10
شباط,16,05:28,06:51,12:27,03:28,05:54,07:11
شباط,17,05:27,06:50,12:26,03:28,05:55,07:12
شباط,18,05:26,06:49,12:26,03:29,05:56,07:13
شباط,19,05:25,06:48,12:26,03:30,05:57,07:14
شباط,20,05:23,06:47,12:26,03:31,05:58,07:14
شباط,21,05:22,06:45,12:26,03:31,05:59,07:15
شباط,22,05:21,06:44,12:26,03:32,06:00,07:16
شباط,23,05:20,06:43,12:26,03:33,06:01,07:17
